enumerator_id1,name1,email1,mobile_primary1,language1,home_address1,gender1,enumerator_type1,district_id1,mobile_secondary1,age1
1000001,Name_1000001,utkarsh.gupta+1000001@idinsight.org,9001000001,English,Address 1000001,Male,surveyor,1,91001000001,25
1000002,Name_1000002,utkarsh.gupta+1000002@idinsight.org,9001000002,Hindi,Address 1000002,Female,monitor;surveyor,1,91001000002,26
1000003,Name_1000003,utkarsh.gupta+1000003@idinsight.org,9001000003,Telugu,Address 1000003,Male,surveyor,1,91001000003,27
1000004,Name_1000004,utkarsh.gupta+1000004@idinsight.org,9001000004,English,Address 1000004,Female,monitor;surveyor,1,91001000004,28
1000005,Name_1000005,utkarsh.gupta+1000005@idinsight.org,9001000005,Hindi,Address 1000005,Male,surveyor,1,91001000005,29
1000006,Name_1000006,utkarsh.gupta+1000006@idinsight.org,9001000006,Telugu,Address 1000006,Female,monitor;surveyor,1,91001000006,30
1000007,Name_1000007,utkarsh.gupta+1000007@idinsight.org,9001000007,English,Address 1000007,Male,surveyor,1,91001000007,31
1000008,Name_1000008,utkarsh.gupta+1000008@idinsight.org,9001000008,Hindi,Address 1000008,Female,monitor;surveyor,1,91001000008,32
1000009,Name_1000009,utkarsh.gupta+1000009@idinsight.org,9001000009,Telugu,Address 1000009,Male,surveyor,1,91001000009,33
1000010,Name_1000010,utkarsh.gupta+1000010@idinsight.org,9001000010,English,Address 1000010,Female,monitor;surveyor,1,91001000010,34
1000011,Name_1000011,utkarsh.gupta+1000011@idinsight.org,9001000011,Hindi,Address 1000011,Male,surveyor,1,91001000011,35
1000012,Name_1000012,utkarsh.gupta+1000012@idinsight.org,9001000012,Telugu,Address 1000012,Female,monitor;surveyor,1,91001000012,36
1000013,Name_1000013,utkarsh.gupta+1000013@idinsight.org,9001000013,English,Address 1000013,Male,surveyor,1,91001000013,37
1000014,Name_1000014,utkarsh.gupta+1000014@idinsight.org,9001000014,Hindi,Address 1000014,Female,monitor;surveyor,1,91001000014,38
1000015,Name_1000015,utkarsh.gupta+1000015@idinsight.org,9001000015,Telugu,Address 1000015,Male,surveyor,1,91001000015,39
1000016,Name_1000016,utkarsh.gupta+1000016@idinsight.org,9001000016,English,Address 1000016,Female,monitor;surveyor,1,91001000016,40
1000017,Name_1000017,utkarsh.gupta+1000017@idinsight.org,9001000017,Hindi,Address 1000017,Male,surveyor,1,91001000017,41
1000018,Name_1000018,utkarsh.gupta+1000018@idinsight.org,9001000018,Telugu,Address 1000018,Female,monitor;surveyor,1,91001000018,42
1000019,Name_1000019,utkarsh.gupta+1000019@idinsight.org,9001000019,English,Address 1000019,Male,surveyor,1,91001000019,43
1000020,Name_1000020,utkarsh.gupta+1000020@idinsight.org,9001000020,Hindi,Address 1000020,Female,monitor;surveyor,1,91001000020,44
1000021,Name_1000021,utkarsh.gupta+1000021@idinsight.org,9001000021,Telugu,Address 1000021,Male,surveyor,1,91001000021,25
1000022,Name_1000022,utkarsh.gupta+1000022@idinsight.org,9001000022,English,Address 1000022,Female,monitor;surveyor,1,91001000022,26
1000023,Name_1000023,utkarsh.gupta+1000023@idinsight.org,9001000023,Hindi,Address 1000023,Male,surveyor,1,91001000023,27
1000024,Name_1000024,utkarsh.gupta+1000024@idinsight.org,9001000024,Telugu,Address 1000024,Female,monitor;surveyor,1,91001000024,28
1000025,Name_1000025,utkarsh.gupta+1000025@idinsight.org,9001000025,English,Address 1000025,Male,surveyor,1,91001000025,29
